branch_id,branch_name,branch_name_mapped,year,period,sale_date,access_type,sale_duration
6,SM Store North Edsa,North Edsa,2026,H1,2/11/2026,early access,5ds
6,SM Store North Edsa,North Edsa,2026,H1,2/12/2026,early access,5ds
6,SM Store North Edsa,North Edsa,2026,H1,2/13/2026,regular,5ds
6,SM Store North Edsa,North Edsa,2026,H1,2/14/2026,regular,5ds
6,SM Store North Edsa,North Edsa,2026,H1,2/15/2026,regular,5ds
445,SM Store Baliwag,Baliwag,2026,H1,2/12/2026,early access,3ds
445,SM Store Baliwag,Baliwag,2026,H1,2/13/2026,regular,3ds
445,SM Store Baliwag,Baliwag,2026,H1,2/14/2026,regular,3ds
445,SM Store Baliwag,Baliwag,2026,H1,2/15/2026,regular,3ds
6118,SM Store CDO Downtown,CDO Downtown,2026,H1,2/12/2026,early access,3ds
6118,SM Store CDO Downtown,CDO Downtown,2026,H1,2/13/2026,regular,3ds
6118,SM Store CDO Downtown,CDO Downtown,2026,H1,2/14/2026,regular,3ds
6118,SM Store CDO Downtown,CDO Downtown,2026,H1,2/15/2026,regular,3ds
4536,SM Store Lanang,Lanang,2026,H1,2/12/2026,early access,3ds
4536,SM Store Lanang,Lanang,2026,H1,2/13/2026,regular,3ds
4536,SM Store Lanang,Lanang,2026,H1,2/14/2026,regular,3ds
4536,SM Store Lanang,Lanang,2026,H1,2/15/2026,regular,3ds
1887,SM Store Molino,Molino,2026,H1,2/12/2026,early access,3ds
1887,SM Store Molino,Molino,2026,H1,2/13/2026,regular,3ds
1887,SM Store Molino,Molino,2026,H1,2/14/2026,regular,3ds
1887,SM Store Molino,Molino,2026,H1,2/15/2026,regular,3ds
3067,SM Store Mindpro Zamboanga,Mindpro ,2026,H1,2/12/2026,early access,3ds
3067,SM Store Mindpro Zamboanga,Mindpro ,2026,H1,2/13/2026,regular,3ds
3067,SM Store Mindpro Zamboanga,Mindpro ,2026,H1,2/14/2026,regular,3ds
3067,SM Store Mindpro Zamboanga,Mindpro ,2026,H1,2/15/2026,regular,3ds
855,SM Store Masinag,Masinag,2026,H1,2/12/2026,early access,3ds
855,SM Store Masinag,Masinag,2026,H1,2/13/2026,regular,3ds
855,SM Store Masinag,Masinag,2026,H1,2/14/2026,regular,3ds
855,SM Store Masinag,Masinag,2026,H1,2/15/2026,regular,3ds
,,Center - Angono,2026,H1,2/13/2026,regular,3ds
,,Center - Angono,2026,H1,2/14/2026,regular,3ds
,,Center - Angono,2026,H1,2/15/2026,regular,3ds
,,Center – Las Pinas,2026,H1,2/13/2026,regular,3ds
,,Center – Las Pinas,2026,H1,2/14/2026,regular,3ds
,,Center – Las Pinas,2026,H1,2/15/2026,regular,3ds
,,Center – San Pedro,2026,H1,2/13/2026,regular,3ds
,,Center – San Pedro,2026,H1,2/14/2026,regular,3ds
,,Center – San Pedro,2026,H1,2/15/2026,regular,3ds
3066,SM Store Olongapo Central,Olongapo Central,2026,H1,2/12/2026,early access,3ds
3066,SM Store Olongapo Central,Olongapo Central,2026,H1,2/13/2026,regular,3ds
3066,SM Store Olongapo Central,Olongapo Central,2026,H1,2/14/2026,regular,3ds
3066,SM Store Olongapo Central,Olongapo Central,2026,H1,2/15/2026,regular,3ds
,,__CHAIN_PROMO__,2026,H1,2/20/2026,regular,3ds
,,__CHAIN_PROMO__,2026,H1,2/21/2026,regular,3ds
,,__CHAIN_PROMO__,2026,H1,2/22/2026,regular,3ds
,,The Podium,2026,H1,2/27/2026,regular,3ds
,,The Podium,2026,H1,2/28/2026,regular,3ds
,,The Podium,2026,H1,3/1/2026,regular,3ds
432,SM Store Rosario,Rosario,2026,H1,2/26/2026,early access,3ds
432,SM Store Rosario,Rosario,2026,H1,2/27/2026,regular,3ds
432,SM Store Rosario,Rosario,2026,H1,2/28/2026,regular,3ds
432,SM Store Rosario,Rosario,2026,H1,3/1/2026,regular,3ds
134,SM Store Marilao,Marilao,2026,H1,2/26/2026,early access,3ds
134,SM Store Marilao,Marilao,2026,H1,2/27/2026,regular,3ds
134,SM Store Marilao,Marilao,2026,H1,2/28/2026,regular,3ds
134,SM Store Marilao,Marilao,2026,H1,3/1/2026,regular,3ds
